ProfileCreationDate,NoofLogin,ProfileViews,InterestSent,PlanPurchase,SalesTeamCallMade,FirstPlanPurchase,Gender,Age,City,Income,Education,Occupation,profilecreatedBy,maritalStatus,Height
2023-12-17,0,1402,63,8,2,2023-12-17,Male,30,Dum Dum,INR 4 Lacs - 6 Lacs,Other Masters Degree in Management,Salaried - Government/PSU,Parent,Never Married,5.1
2024-04-27,0,1612,108,8,5,2024-04-30,Male,48,Araria,INR 4 Lacs - 6 Lacs,LLM,Salaried - Government/PSU,Self,Widow / Widower,5.09
2024-05-28,0,1586,845,7,1,2024-06-26,Male,41,Bankura,INR 4 Lacs - 6 Lacs,Higher Secondary School,Business/Self Employed,Self,Awaiting Divorce,5.04
2024-06-26,0,1674,36,7,1,2024-07-11,Male,27,Chandrakona,INR 12 Lacs - 15 Lacs,B.Tech,Business/Self Employed,Self,Never Married,6.03
2023-11-03,0,392,46,6,0,2023-11-14,Male,34,Copenhagen,"USD 80,000 - 90,000",B.Tech,Salaried - Private,Self,Never Married,6.01
2023-11-17,0,29,5,6,8,2023-11-23,Male,31,Howrah,Upto INR 2 Lacs,Secondary School,Salaried - Private,Self,Never Married,5.06
2023-11-18,0,3572,10,6,1,2023-11-20,Male,28,Mumbai,INR 8 Lacs - 10 Lacs,MBA,Salaried - Private,Parent,Never Married,5.08
2023-12-12,0,942,124,6,0,2023-12-12,Male,29,Kolkata,INR 61 Lacs - 70 Lacs,B.A,Business/Self Employed,Self,Never Married,5.08
2024-01-07,0,2535,18,6,0,2024-02-06,Male,29,Bengaluru,INR 30 Lacs - 40 Lacs,B.Tech,Salaried - Private,Parent,Never Married,5.06
2024-02-19,0,1529,43,6,0,2024-02-20,Male,33,Kolkata,INR 15 Lacs - 18 Lacs,B.Tech,Salaried - Private,Parent,Never Married,5.09
2024-02-23,0,996,32,6,8,2024-02-23,Male,29,Panihati,INR 4 Lacs - 6 Lacs,B.Ed,Salaried - Private,Parent,Never Married,5.09
2024-06-14,0,919,61,6,5,2024-06-24,Male,38,Bhopal,INR 6 Lacs - 8 Lacs,Other Bachelors Degree in Arts/Science/Commerce,Salaried - Private,Parent,Never Married,5.05
2024-07-23,297,1047,1,6,2,2024-07-23,Male,29,Rajpur Sonarpur,INR 61 Lacs - 70 Lacs,B.Com,Business/Self Employed,Self,Never Married,5.09
2024-08-06,648,5444,68,6,3,2024-08-13,Male,51,Kolkata,INR 4 Lacs - 6 Lacs,High School,Business/Self Employed,Self,Widow / Widower,5.08
2023-11-04,0,211,0,5,0,2023-11-04,Female,26,Krishnanagar,Not Working,M.A,Student,Relative,Never Married,5.02
2024-01-27,0,1281,126,5,0,2024-01-28,Male,32,Kolkata,INR 4 Lacs - 6 Lacs,Higher Secondary School,Business/Self Employed,Self,Never Married,5.05
2024-02-05,0,292,4,5,0,2024-02-05,Male,45,Bouches-du-Rh????ne,INR 51 Lacs - 60 Lacs,M.Sc,Salaried - Private,Parent,Divorced,5.09
2024-02-11,0,610,13,5,0,2024-02-12,Male,40,Howrah,INR 20 Lacs - 30 Lacs,M.Sc,Medical Field,Parent,Never Married,5.11
2024-03-17,0,1292,765,5,6,2024-03-23,Male,39,Nabadwip,INR 2 Lacs - 4 Lacs,Higher Secondary School,Medical Field,Self,Never Married,5.02
2024-03-23,0,491,4,5,0,2024-03-26,Male,29,Berhampore,INR 2 Lacs - 4 Lacs,B.A,Business/Self Employed,Self,Never Married,5.07
2024-05-23,0,249,15,5,2,2024-05-24,Male,35,Kolkata,INR 8 Lacs - 10 Lacs,B.Tech,Salaried - Private,Self,Never Married,5.08
2024-08-25,1083,542,3,5,2,2024-08-26,Female,28,Durgapur,INR 8 Lacs - 10 Lacs,M.Sc,Salaried - Private,Parent,Never Married,5.02
2023-09-23,0,784,37,4,3,2023-10-26,Male,38,Bardhaman (Burdwan),INR 20 Lacs - 30 Lacs,B.Tech,Salaried - Private,Self,Divorced,5.04
2023-10-07,0,4081,45,4,2,2023-10-12,Male,56,Durgapur,INR 8 Lacs - 10 Lacs,Higher Secondary School,Business/Self Employed,Self,Divorced,5.07
2023-11-10,0,988,3,4,2,2023-11-16,Female,31,Kolkata,INR 20 Lacs - 30 Lacs,B.Tech,Salaried - Private,Parent,Never Married,5.04
2023-11-14,0,3334,52,4,3,2023-11-14,Male,27,New Delhi,INR 18 Lacs - 20 Lacs,MBA,Professional,Parent,Never Married,5.08
2023-11-22,0,1669,2,4,0,2023-11-23,Male,35,Oslo,INR 61 Lacs - 70 Lacs,B.Tech,Salaried - Private,Sibling,Never Married,5.07
2023-11-29,0,1334,35,4,4,2023-12-01,Male,35,Kolkata,INR 6 Lacs - 8 Lacs,B.Tech,Business/Self Employed,Parent,Never Married,5.03
2024-01-13,0,934,18,4,1,2024-01-13,Male,48,Kolkata,INR 10 Lacs - 12 Lacs,Ph.D.,Salaried - Private,Self,Divorced,5.1
2024-01-30,0,372,45,4,1,2024-01-30,Male,31,Kolkata,INR 8 Lacs - 10 Lacs,BHMS,Medical Field,Self,Never Married,5.05
2024-02-18,0,3105,555,4,0,2024-02-18,Male,30,Kolkata,INR 6 Lacs - 8 Lacs,B.Com (Hons.),Salaried - Private,Self,Never Married,5.04
2024-02-20,0,49,4,4,0,2024-02-20,Male,38,Jersey City,"USD 100,000 and above",B.Tech,Salaried - Private,Sibling,Never Married,5.1
2024-02-29,0,30,0,4,1,2024-03-01,Female,29,New Delhi,INR 51 Lacs - 60 Lacs,Other Masters Degree in Management,Salaried - Private,Parent,Never Married,5.0
2024-03-18,0,71,3,4,0,2024-03-19,Male,34,Kolkata,INR 15 Lacs - 18 Lacs,M.Tech,Salaried - Private,Self,Never Married,5.08
2024-04-02,0,559,89,4,1,2024-04-03,Male,29,Dhakuria,INR 4 Lacs - 6 Lacs,B.Sc,Salaried - Private,Self,Never Married,5.05
2024-04-10,0,521,18,4,3,2024-05-04,Male,33,Hooghly,INR 2 Lacs - 4 Lacs,Higher Secondary School,Salaried - Private,Self,Never Married,5.05
2024-05-01,0,256,18,4,2,2024-05-01,Female,30,Kolkata,INR 2 Lacs - 4 Lacs,M.A,Salaried - Private,Parent,Never Married,5.03
2024-05-17,0,2660,18,4,6,2024-05-28,Female,27,Murshidabad,INR 2 Lacs - 4 Lacs,MBA,Salaried - Private,Parent,Never Married,5.06
2024-05-29,0,289,27,4,1,2024-05-31,Female,34,Asansol,INR 6 Lacs - 8 Lacs,Ph.D.,Salaried - Government/PSU,Parent,Never Married,5.02
2024-06-03,0,211,12,4,1,2024-06-04,Male,35,Bangalore Rural,INR 41 Lacs - 50 Lacs,M.Tech,Salaried - Private,Self,Divorced,5.08
2024-06-30,0,618,30,4,2,2024-06-30,Male,42,Belgharia,INR 10 Lacs - 12 Lacs,MCA,Business/Self Employed,Self,Divorced,6.0
2024-08-17,208,592,103,4,2,2024-08-18,Male,24,Kotulpur,INR 30 Lacs - 40 Lacs,LLB,Business/Self Employed,Parent,Never Married,5.05
2024-08-19,234,321,245,4,1,2024-08-23,Male,29,Balasore,INR 8 Lacs - 10 Lacs,B.A,Salaried - Government/PSU,Self,Never Married,5.03
2024-09-15,823,2041,90,4,3,2024-09-16,Male,61,Kolkata,INR 10 Lacs - 12 Lacs,M.Com,Salaried - Government/PSU,Self,Widow / Widower,5.05
2023-09-27,0,1804,323,3,5,2023-09-28,Male,27,Haldia,INR 8 Lacs - 10 Lacs,MBA,Salaried - Private,Self,Never Married,5.11
2023-10-03,0,716,23,3,2,2023-10-04,Male,43,Arambag,INR 20 Lacs - 30 Lacs,B.A,Business/Self Employed,Self,Divorced,5.08
2023-10-06,0,551,9,3,1,2023-10-08,Male,29,United Kingdom,INR 30 Lacs - 40 Lacs,M.S.( Engg),Salaried - Private,Parent,Never Married,5.06
2023-10-16,0,4511,30,3,2,2023-11-10,Male,29,Bidhannagar,Upto INR 2 Lacs,MBA,Salaried - Private,Parent,Never Married,5.08
2023-10-23,0,266,67,3,4,2023-12-08,Female,25,Greater Manchester,"GBP 35,000 - 40,000",MBA,Salaried - Private,Parent,Never Married,5.03
2023-10-25,0,395,42,3,9,2023-11-11,Male,40,Mumbai,INR 18 Lacs - 20 Lacs,B.Sc (Hons.),Salaried - Government/PSU,Self,Divorced,5.06
2023-10-29,0,1549,37,3,2,2023-11-07,Male,31,Reading,"GBP 60,000 - 70,000",B.Tech,Salaried - Private,Parent,Never Married,5.1
2023-10-30,0,404,9,3,1,2023-11-01,Male,32,New Barrackpore,INR 18 Lacs - 20 Lacs,B.Tech,Salaried - Private,Self,Never Married,5.1
2023-11-02,0,208,15,3,1,2023-11-03,Male,27,Bengaluru,INR 4 Lacs - 6 Lacs,B.Tech,Business/Self Employed,Parent,Never Married,5.08
2023-11-04,0,543,60,3,4,2023-11-05,Male,36,Baidyabati,INR 2 Lacs - 4 Lacs,Higher Secondary School,Business/Self Employed,Self,Divorced,5.06
2023-11-12,0,355,24,3,1,2023-11-13,Female,34,Rampurhat,INR 8 Lacs - 10 Lacs,MBBS,Salaried - Government/PSU,Self,Divorced,5.06
2023-11-13,0,658,62,3,1,2023-11-13,Male,28,Kolkata,INR 18 Lacs - 20 Lacs,B.Tech,Salaried - Private,Parent,Never Married,5.05
2023-11-16,0,698,11,3,4,2024-01-05,Male,48,Hooghly,INR 6 Lacs - 8 Lacs,Higher Secondary School,Business/Self Employed,Self,Never Married,5.02
2023-11-16,0,2075,938,3,4,2023-11-17,Male,42,Kolkata,INR 12 Lacs - 15 Lacs,B.Pharm,Salaried - Private,Self,Awaiting Divorce,5.07
2023-11-18,0,923,40,3,1,2023-12-24,Male,37,Kolkata,INR 12 Lacs - 15 Lacs,MBA,Salaried - Private,Sibling,Never Married,5.06
2023-11-20,0,1663,303,3,0,2023-11-23,Male,33,Kolkata,INR 4 Lacs - 6 Lacs,B.Com,Salaried - Private,Self,Never Married,5.07
2023-11-25,0,416,24,3,1,2023-11-28,Male,32,Baruipur,INR 4 Lacs - 6 Lacs,M.Sc,Salaried - Government/PSU,Self,Never Married,5.05
2023-12-10,0,728,121,3,1,2023-12-11,Male,29,Barasat,INR 4 Lacs - 6 Lacs,B.Sc (Hons.),Salaried - Government/PSU,Self,Never Married,4.09
2023-12-13,0,215,9,3,7,2023-12-27,Female,33,Kolkata,INR 10 Lacs - 12 Lacs,M.A,Salaried - Private,Parent,Never Married,5.02
2023-12-15,0,554,41,3,0,2023-12-17,Female,31,Pune,INR 12 Lacs - 15 Lacs,M.Com,Salaried - Private,Parent,Never Married,5.03
2023-12-16,0,471,329,3,0,2023-12-17,Female,28,Howrah,INR 6 Lacs - 8 Lacs,B.Tech,Salaried - Private,Self,Never Married,4.1
2023-12-17,0,809,168,3,4,2024-01-11,Male,37,Howrah,INR 2 Lacs - 4 Lacs,B.Com,Salaried - Private,Self,Never Married,5.07
2023-12-25,0,17,2,3,1,2023-12-25,Male,29,Pune,INR 15 Lacs - 18 Lacs,B.Tech,Salaried - Private,Parent,Never Married,5.09
2023-12-29,0,586,7,3,0,2023-12-29,Male,32,Tinsukia,INR 18 Lacs - 20 Lacs,B.Tech,Salaried - Private,Parent,Never Married,5.03
2024-01-10,0,252,32,3,2,2024-01-18,Male,33,Berhampore,INR 4 Lacs - 6 Lacs,M.A,Business/Self Employed,Self,Never Married,5.06
2024-01-12,0,579,3,3,0,2024-01-12,Female,31,Rishra,INR 8 Lacs - 10 Lacs,M.A,Salaried - Government/PSU,Parent,Never Married,5.02
2024-01-13,0,12,4,3,0,2024-01-14,Male,36,Hyderabad,INR 12 Lacs - 15 Lacs,M.A,Salaried - Private,Parent,Never Married,5.07
2024-01-14,0,656,101,3,0,2024-01-15,Male,29,Bengaluru,INR 20 Lacs - 30 Lacs,CA,Salaried - Private,Self,Never Married,5.08
2024-01-16,0,872,137,3,1,2024-02-02,Male,36,Dhubri,INR 30 Lacs - 40 Lacs,BE,Salaried - Private,Parent,Widow / Widower,6.0
2024-01-17,0,2768,34,3,0,2024-01-17,Male,30,Siliguri,INR 15 Lacs - 18 Lacs,B.Tech,Salaried - Private,Self,Never Married,5.11
2024-01-30,0,202,17,3,1,2024-01-30,Female,32,Diamond Harbour,INR 6 Lacs - 8 Lacs,B.A (Hons.),Business/Self Employed,Parent,Widow / Widower,4.1
2024-01-31,0,474,47,3,4,2024-02-14,Female,30,Kanagawa-ken,INR 51 Lacs - 60 Lacs,B.Tech,Salaried - Private,Parent,Never Married,5.07
2024-01-31,0,334,13,3,1,2024-02-08,Male,48,Howrah,INR 2 Lacs - 4 Lacs,Higher Secondary School,Salaried - Private,Self,Never Married,5.06
2024-02-04,0,277,5,3,0,2024-02-15,Male,38,Jalandhar Cantonment,INR 8 Lacs - 10 Lacs,MBA,Salaried - Private,Parent,Divorced,5.07
2024-02-06,0,992,22,3,3,2024-02-07,Female,34,Delhi,INR 30 Lacs - 40 Lacs,MBA,Salaried - Private,Parent,Never Married,5.07
2024-02-09,0,3254,365,3,0,2024-02-09,Female,26,Kolkata,INR 4 Lacs - 6 Lacs,MBA,Salaried - Private,Parent,Never Married,5.03
2024-02-14,0,1935,145,3,0,2024-03-11,Male,60,Konnagar,INR 2 Lacs - 4 Lacs,Higher Secondary School,Business/Self Employed,Self,Widow / Widower,5.02
2024-02-18,0,906,200,3,0,2024-02-18,Male,37,Kolkata,INR 4 Lacs - 6 Lacs,B.Com,Salaried - Private,Parent,Never Married,5.07
2024-02-19,0,437,14,3,0,2024-02-20,Female,30,Santoshpur,INR 2 Lacs - 4 Lacs,B.Tech,Salaried - Private,Parent,Never Married,5.02
2024-02-20,0,768,155,3,0,2024-03-02,Male,36,Kolkata,INR 15 Lacs - 18 Lacs,Ph.D.,Salaried - Private,Self,Never Married,5.05
2024-02-23,0,167,11,3,0,2024-02-24,Male,33,Bengaluru,INR 12 Lacs - 15 Lacs,BCA,Salaried - Private,Parent,Never Married,5.08
2024-02-29,0,1342,93,3,4,2024-03-08,Male,29,Kolkata,INR 71 Lacs - 80 Lacs,M.Tech,Salaried - Private,Parent,Never Married,5.11
2024-03-01,0,743,51,3,0,2024-03-01,Male,32,Bangalore Rural,INR 4 Lacs - 6 Lacs,M.A,Salaried - Private,Parent,Never Married,5.04
2024-03-02,0,1963,11,3,4,2024-03-04,Male,30,Kolkata,Upto INR 2 Lacs,High School,Salaried - Private,Self,Never Married,5.05
2024-03-04,1,365,22,3,1,2024-03-18,Male,30,Raniganj,INR 2 Lacs - 4 Lacs,B.Tech,Salaried - Private,Self,Never Married,5.07
2024-03-05,0,136,76,3,1,2024-03-06,Female,29,Durgapur,INR 4 Lacs - 6 Lacs,M.A,Salaried - Private,Parent,Never Married,5.03
2024-03-07,0,478,14,3,0,2024-03-07,Female,26,Kolkata,INR 15 Lacs - 18 Lacs,B.Tech,Salaried - Private,Parent,Never Married,5.0
2024-03-07,0,4798,12,3,1,2024-03-08,Male,35,Asansol,Upto INR 2 Lacs,Others in Diploma,Salaried - Private,Relative,Never Married,5.05
2024-03-13,0,198,1,3,1,2024-03-15,Female,28,Gurugram,INR 4 Lacs - 6 Lacs,M.Sc,Salaried - Private,Parent,Never Married,5.01
