Place,Type
dum dum,Urban
araria,Rural
kolkata,Urban
bankura,Rural
south 24 parganas,Urban
chandrakona,Rural
copenhagen,Urban
howrah,Urban
mumbai,Urban
dhupguri,Rural
bengaluru,Urban
panihati,Urban
bhopal,Urban
rajpur sonarpur,Urban
shillong,Urban
krishnanagar,Urban
suri,Rural
nabadwip,Rural
berhampore,Urban
durgapur,Urban
bardhaman (burdwan),Urban
bongaon,Urban
new delhi,Urban
oslo,Urban
patna,Urban
tamluk,Rural
jersey city,Urban
dhakuria,Urban
hooghly,Urban
murshidabad,Rural
digboi,Rural
asansol,Urban
bangalore rural,Rural
belgharia,Urban
udaynarayanpur,Rural
kotulpur,Rural
balasore,Rural
barrackpore,Urban
haldia,Urban
arambag,Rural
united kingdom,Urban
bidhannagar,Urban
greater manchester,Urban
reading,Urban
new barrackpore,Urban
baidyabati,Urban
rampurhat,Rural
haroa,Rural
baruipur,Rural
barasat,Urban
pune,Urban
khanchi,Rural
siliguri,Urban
tinsukia,Rural
british columbia,Urban
talegaon dhamdhere,Urban
rishra,Urban
hyderabad,Urban
dhubri,Rural
kulti,Urban
diamond harbour,Urban
kanagawa-ken,Urban
jalandhar cantonment,Urban
delhi,Urban
konnagar,Urban
dubrajpur,Rural
santoshpur,Urban
raniganj,Rural
gurugram,Urban
uluberia,Rural
gorakhpur,Urban
naihati,Urban
ranaghat,Rural
dainhat,Rural
hugli-chinsurah,Urban
birati,Urban
kalyani,Urban
purulia,Rural
hong kong island,Urban
mortimer common,Rural
bamangachhi,Rural
contai,Rural
purnia,Rural
tarakeswar,Rural
malda,Rural
baruipur (p),Rural
cooch behar,Rural
basirhat,Urban
agartala,Urban
alipur,Urban
habra,Urban
amta,Rural
falta,Rural
minakhan,Rural
panskura,Rural
gurgaon,Urban
dhanbad,Urban
bavaria,Urban
garshyamnagar,Urban
south goa,Urban
bad vilbel,Urban
west virginia,Urban
west-vlaanderen,Urban
narit,Rural
warrington,Urban
nebadhai duttapukur,Rural
torun,Urban
aachen,Urban
holland village,Urban
guma,Rural
masat,Urban
galway,Urban
saint john,Urban
kilkenny,Urban
warwickshire,Urban
warley,Urban
american samoa,Urban
patihal,Rural
ards,Rural
west midlands,Urban
kanki,Rural
guam,Urban
walheim,Rural
duki,Rural
gilmanton iw,Rural
mal,Rural
oxfordshire,Urban
hokkaido,Urban
gauteng,Urban
estonia,Urban
queensland,Urban
hesse,Urban
qatar,Urban
nrth rhine westfalia,Urban
dalarna,Rural
otago,Urban
southern,Urban
gloucestershire,Urban
admiralty,Urban
geislingen,Urban
noord-brabant,Urban
new south wales,Urban
cambridgeshire,Urban
rouzan,Urban
chittagong politechnic in,Urban
kirikkale,Urban
aiho,Rural
dhakka,Urban
rangbull,Rural
anupgarh,Rural
meath,Rural
gumla,Rural
ramanathpur,Rural
nagapattinam,Rural
khodar bazar,Rural
rangabhita,Rural
naiti,Rural
pakistan,Rural
kamalapur,Rural
providence,Rural
nandail,Rural
madaripur sadar,Rural
keraniganj,Rural
tiruppattur,Rural
beerkathi,Rural
faridpur,Rural
baja california,Rural
agalgaon,Rural
champhai,Rural
nachol,Rural
hailey mandi,Rural
panagar,Rural
tenali,Rural
sobhaganj,Rural
malur,Rural
hazaribag,Rural
roorkee,Rural
baktarnagar,Rural
dakhin rampur,Rural
pabna,Rural
agla,Rural
satana,Rural
bijawar,Rural
zahirabad,Rural
sikandrabad,Rural
nanjangud,Rural
devarkonda,Rural
rochester,Rural
gopalganj,Rural
asifabad,Rural
kalipur,Rural
narail sadar,Rural
jind,Rural
mahendragarh,Rural
puthia,Rural
kabrai,Rural
barwaha,Rural
dhampur,Rural
badami,Rural
osmanpur,Rural
meherpur sadar,Rural
loni kalbhor,Rural
bilandapur,Rural
aruba,Rural
nagarpur,Rural
kanyanagar,Rural
kyoto-fu,Rural
cart road,Rural
uganda,Rural
jaunpur,Rural
samthar,Rural
chapai nawabganj sadar,Rural
